,Text
169,"Mua máy được 3 tháng thì màn hình bị giật,xuất hiện sọc ngang sọc dọc nên phải đem đi bảo hành"
170,"Máy nhẹ, nhanh, giá tốt, pin bền..."
171,Delete ổ đĩa và cài lại win chạy mượt hơn rất nhiều ( cài sạch)
172,Máy nhỏ gọn và tương đối mượt mà. Thích hợp dành cho văn phòng. Dịch vụ cài đặt và tư vấn khách hàng tốt
173,"Em mua từ 20-06 năm nay giá rẻ online là 6tr190k
Vậy mai 24-09 e muốn bán lại thì sẽ được thu mua với giá như nào ah"
174,"Máy dùng ổn,hơi nóng máy"
180,Đơn hàng 63626521 hẹn ngày 2/12 sáng nay tôi ra đmx lấy thì nv báo đã chuyển đi bán nơi khac làm mất tiền cọc của tôi
181,"Sản phẩm tốt trong tầm giá,nhỏ gọn,pin cũng khá lâu."
182,Tuyệt vời trong tầm giá. Đáng mua
192,Cho em hỏi là nếu em nâng ram và ssd ở ngoài thì có bị mất bảo hành không ạ?
193,Khá ổn áp để treo game. Chơi rất mượt.
195,"Ngoại hình đẹp, cấu hình cao, ổn trong tầm giá
- Màn hình tần số quét cao, phù hợp với một số game fps cao
- CPU - VGA ổn trong tầm giá tương đương, phù hợp để chơi ở cấu hình normal trên các tựa game AAA hiện nay. Vẫn có thể chơi ở cấu hình hight nhưng không nên kéo dài lâu.
- Đặc trưng của dòng gaming nên có nhiều khe và lỗ thoát nhiệt, thiết kế đẹp. Khi choi game nên chuyển qua chế độ turbo để tăng công suât quạt nên giúp tản nhiệt bảo vệ linh kiện tốt hơn.
- Bàn phím full size có LED đổi màu.
- Cổng kết nối được dồn hết sang bên trái, hạn chế vướng tay khi dùng chuột ngoài.
- Máy đằm, hầm hố nhưng không quá to nặng khoảng 2.3kg, vẫn có thể mang vác bình thường, nhưng nên dùng kèm balo sẽ thoải mái hơn.
- Pin vừa đủ nếu chỉ dùng lướt web xem phim thì thoải mái, còn khi dùng hỗn hợp hoặc chơi game thì nên cắm điện trực tiếp.
- Máy đi kèm cục sạc 150W khá đẹp, sạc đầy khoảng 2h
Tổng quan máy
- Rẻ
- Bền 
- Đẹp
- Cấu hình best trong tầm giá.
Phù hợp với người dùng có nhu cầu sử dụng hỗn hợp, vừa làm việc, vừa giải trí game mà không yêu cầu tài chính quá cao."
196,"xem phim , da bong man hinh vang loe khong hai long ve san pham ,hien thi khong duoc tuoi sang"
197,Tình trạng pin hơi yếu
199,"Rất ko hài lòng,Balo asus gaming thì đưa mk balo của MSI"
200,Em mới mua em muốn trả lại thì còn được bao nhiêu ạ sdt (  xxxx756695 )
201,Tốt  nên  mua
202,Nhân viên tư vấn tại chi nhánh Mạo Khê rất nhiệt tình và chu đáo
203,Rất tốt và đẹp
204,"ad cho mk hỏi mình mua máy về dùng khoảng 2 tháng mà mỗi ngày dùng không nhiều, khi dùng vẫn cắm sạc, mà pin bị chai mất 7% là có bình thường không ạ"
205,OK. Máy chạy nhanh mượt lắm
211,Nhân viên giao máy dễ thương. Nhiệt tình mười điểm. Máy gaming mà chơi game thoảng nó bị đen màn hình nha mn :))) mình chơi audition. ít dùng máy nhưng thấy máy không được mượt lắm á. Mn có thể tham khảo máy dell ngon hơn
212,Rất tốt trong phân khúc
213,mua máy về sd thi thoảng bị đen mh 1 lúc lại lên. rồi đc 2 tuần đang chơi tự nhiện nó đen hẳn luôn
214,Máy khá ổn áp
215,Hiện tại rất tốt
216,Hàng đẹp giá sinh viên
217,Hàng tốt đẹp nhân viên tư vấn kỹ vui vẻ
218,"Dạ chào anh,cảm ơn anh đã tin dùng sản phẩm của bên em.Rất mong được phục vụ anh ở những lần sau ạ. "
219,"Rất hài lòng, nhân viên rất nhiệt tình và chu đáo"
220,Máy mượt chơi game ổn
221,Sản phẩm rất ok dùng cho những bạn nào có nhu cầu học hỏi và giải trí nhẹ thì rất thoải mái.
222,Máy thường xuyên bị mất wifi
223,"Máy tốt, không nóng, đáng mua, mình mua về chơi game, máy chạy êm ko ồn, cần hầu hết các loại game FPS, call of duty chạy tốt nhé.
Nhân viên rất dễ thương và nhiệt tình."
224,"Sau gần 1 tháng trải nghiệm mình rất hài lòng với em này, mình hay chiến các thể loại game FPS máy chạy rất êm, không giật lag, không tụt fps. Game mình đang chơi Call Of Duty Warzone, Morder warfare với mức Low setting, Riêng em Rainbow 6 max setting. Nên trang bị thêm đế tản nhiệt cho em nó thì thoải mái chiến các tựa game FPS. Ngon bổ rẻ."
225,"Máy tốt , phụ kiện ok, nhân viên tư vấn nhiệt tình"
226,"Quạt tản nhiệt kêu hơi to
Lúc cắm sạc khi sử dụng màn hình bị tối đen một lúc tầm hai giây"
227,Máy dùng ok
228,dùng rất tốt sẽ giới thiệu đến mọi người
229,"Máy tốt, đẹp. Nhân viên tư vấn nhiệt tình và rất tận tâm với khách hàng"
230,sản phẩm rất tốt
231,Sản phẩm ok dùng ngon nhân viên tư vấn nhiệt tình
232,"Hàng chuẩn , mạnh, nét, giá được giảm tốt so với cấu hình"
234,Đã trải nghiệm và cảm thấy hài lòng
235,Tam thời chưa thay j bất thường xài thêm ít tháng xem ntn
236,"Quá tốt chất lượng nhân viên phục vụ tốt , bảo tặng chuột nhưng ko có phải mua thêm"
239,Cho em hỏi. Em mới mua máy chiều này nhưng về cắm sạc hoặc rút sạc là màn hình nó tắt rồi mới lên lại là có phải do bị cáp sạc kh ạ
241,Máy sử dụng tốt
242,"máy xuống pin nhanh qúa có thể giúp mình được k
1  ngày phải sạc nhiều lần sợ tổn hại đến pin quá
còn đâu mọi thứ đều ổ n"
244,"Mình mở máy sử dụng để xem phim thì tầm 1h45p máy hết pin, còn chơi game thì tầm 1h như vậy thì có ổn không ? Mình vừa mua máy được 2 ngày ạ"
246,"Nhiều người nói máy bắt wifi kém hay lỗi nhưng mà riêng mình thấy bình thường, bắt tốt là đằng khác. Xài nửa tháng rùi mà chưa bị lỗi wifi lần nào. Sản phẩm quá là oke nha"
247,"Chào anh/chị, cám ơn anh/chị đã tin dùng sản phẩm bên em, rất mong sẽ được phục vụ cho anh/chị những lần sau tiếp nữa ạ."
248,Cảm thấy bthg chuột và túi lâu
252,máy gaming quả pin chỉ vậy thôi
255,nó auto chuyển đổi 60hz vs 144hz. Mình mới mua cũng bị nhưng vào cài đặt đẻ mặc định 144hz sẽ hết
256,Rất tốt để chạy code
257,của mk cũng bị như vậy. mặc dù chơi game rất nhẹ
258,"https://www.asus.com/VN/supportonly/FX506LHB/HelpDesk_Download/ (vào đây tải driver onboar , update armonycreat , update nvidia ), nếu bị lỗi crash wifi thì up luôn cái driver WIFI )"
259,Mấy rất ok nhưng mà khi xài được khoảng 1 tuần chơi game lâu nó tự nhiên tắt màn hình đen thui
263,Pin hơi yếu còn lại đều ổn
266,"Sản phẩm chạy mượt, mình cài thêm Simatic step 7, win cc máy chạy rất mượt"
267,"máy gaming thì pin nó chỉ vậy thôi , nó sinh ra là phải ghim sạc để dùng mới có hiệu năng mà"
268,"máy mình mua được hơn 1 tuần bị mở máy không lên màn hình chỉ sáng đèn bàn phím thôi, vài tiếng sau thì lên bình thường là máy bị gì vậy"
270,Nhiệt tình vui vẻ tôi rất hài lòng
271,Pin hơi kém giờ dùng có bị delay rồi tối om thui nhưng ứng dụng vẫn chạy cần hỗ trợ mặt kĩ thuật
272,"mình sài tầm 1 tuần hơn thì mới bị, nên không biết máy có bị lỗi gì không?"
273,"Đồ họa đẹp , mượt"
276,Mày sài rất phù hợp cho dân kỹ thuật
280,"Máy rất phù hợp cho sinh viên học kỹ thuật, xây dựng, giá rất tốt và bảo hành 2 năm"
284,Dòng mày với giá này quá đạt
286,troubleshut wifi là dc ko thì gỡ driver cũ rồi vào https://www.asus.com/VN/supportonly/FX506LHB/HelpDesk_Download/ lấy driver cài vào là dc nha bác
289,19t mua trả góp dc k ạ
290,"Sp tốt, sử dụng rất thích"
298,Chào anh.Dạ không biết bên em có thể giúp được gì cho anh không ạ? 
299,"Máy có chắc chắn ko bạn, hay vỏ nhựa nó ọp ẹp như  dòng msi gf"
300,Máy này là máy mới hay cũ vậy
314,Mới dùng thấy ổn
316,"Máy Sài rất tốt, chạy mượt và lượng pin sử dụng được rất lâu 5 đến 6 giờ. Rất hài lòng về máy với tầm giá."
317,"Máy hd tốt
Mẩu mã đẹp"
318,Cảm nhận rất tốt
319,Sản phẩm dùng tốt
320,Tôi rất hài lòng về sản phẩm cũng như chăm sóc khách hàng và nhiệt tình của nhân viên
321,Máy dùng ok ạ
322,"Sản phẩm rất tốt, nhưng nếu muốn nâng cấp thêm RAM ngay tại đó lại không được, và được thì mất tận 1 tháng (theo lời nhân viên), quá lâu cho một thao tác đơn giản -chỉ vì bảo hành. Nên xem xét lại."
323,Ok tuyệt vời
325,Co tieng kêu giống nhu co cai gi roi trong may
329,"Chào anh, dạ cảm ơn anh đã quan tâm sản phẩm bên em ạ"
330,Mới dùng đc 1 thời gian trải nghiệm tốt
331,"Máy ổn, sử dụng tiện lợi, ít gặp vấn đề."
332,"Hay bị rớt wifi và mất luôn cái wifi, rồi hỗ trợ khi bán thật sự thất vọng nhé, mua nhiều lần lắm rồi lần này là tệ nhất nhé tgdd , lỗi thế mà nói ko lỗi,"
334,"Chào anh, cám ơn anh đã tin dùng sản phẩm bên em, rất mong sẽ được phục vụ cho anh những lần sau tiếp nữa ạ."
335,Tôi hài lòng về sản phẩm và chất lượng phục vụ
337,"Hiện tại xÀi thấy bth nek
Mới nên chắc như v á"
338,Sản phẩm rất tốt ạ
339,"Chào anh, dạ cảm ơn anh đã quan tâm sản phẩm bên em ạ "
340,May tinh dang dung tot
341,"Tư vấn nhiệt tình, nhân viên thân thiện."
342,"Chất luọng sp ok. Phục vụ tốt, nganh chóng"
343,sử dụng tốt
344,"Laptop tốt, nhân viên nhiệt tình"
345,Sản phẩm tốt nhân viên tư vấn rất nhiệt tình mình rất hài lòng
347,"Chào anh, dạ anh cần hỗ trợ gì ạ! Mong phản hồi từ anh "
352,"Máy đep, mỏng, nhe
Ổ ssd 1tb nên khởi động, thực hiện rác vụ nhanh
Máy mỏng nên pin ko lâu, tầm 4-6 tiếng là phải sạc
Khieri động bằng face id rất nhạy"
353,"Tốt, sang trọng"
354,"Mình đã được đổi bàn phím mới từ hãng Lenovo và mình rất hài lòng, cẳm ứng mượt mà và bàn phím đánh rất thích."
355,"Đẹp, rất mỏng nhẹ , phù hợp phụ nữ công sở"
357,Lỗi bàn phím. Đánh 1 lần dấu cách ra  hai  khoảng trống. Ví dụ là mình đang  đánh cái bình luận này đây. Mình  đánh 1 cái nó ra hai  khoảng trống đó. Mình đã mang  đi 3 cái thế giới di động để sửa lỗi này  mà họ cứ nói  không sao. Trong khi mình đánh thực tế thì nó cứ ra hai khoảng trống như  vậy.  Bỏ mấy chục triệu  ra  mua một cái máy  mà  lại bị lỗi phím  cách như vậy  nè.
358,"Máy lỗi rất nhiều mới mua dùng lỗi đủ thứ làm ảnh hưởng đến công việc và học tập, với giá tiền này cộng thêm là máy mới mà hư liên tục lỗi như máy cũ thì mn không nên mua."
359,add zalo minh  xxxx903530 . hổ trợ mình với . mình gọi qua trung tâm bảo hành dell thì họ nói máy mình ko lắp thêm dc
360,mình dag dùng máy này . cho mình xin sdt bn để nhờ bạn hướng dẩn mua part lắp thêm ssd dc ko ạ
361,"máy êm, ổn định, quạt không quá to , máy chiến game tốt , cứng cáp , xài yên tâm hơn con Trùng Chỉ MSI 30 củ ."
362,Máy đẹp chạy mượt.
363,"Máy xài tốt không có nhiều điều để chê. 

Cái đáng chê nhất ở đây là phần thông số kĩ thuật của máy lại không được ghi chính xác trên web, cụ thể ở đây là về vấn đề khe ssd. Thực tế ngay cả phiên bản này, rẻ hơn bản kia một chút nó đã có 2 khe SSD để nâng cấp rồi, chỉ là khe thứ 2 nó không có sẵn các part để cố định ssd như khe ssd 1 gốc của máy mà thôi, và phải tự order cái parts này về hoặc là ra trung tâm bảo hành. 

Thông tin này mình phải tự check trên trang chủ của Dell; và các tài liệu liên quan đến phần hardware của máy. Nó khá là bất tiện tại, vì nếu bên phía TGDĐ ghi chính xác thông tin này hơn, thì mình đã không mua hớ mất 1 thanh 1TB, vì nó đát, thay vào đó, nhu cầu của mình chỉ cần thêm 1 thanh 512GB + 256 có sẵn là đã đủ xài rồi, nó đỡ tốn tiền hơn rất nhiều."
364,Rất hài long
365,Hài lòng với sản phẩm
366,Bác ơi chỉ em cách reset window để hiệu năng tăng được không ạ
367,"Bác muốn nhắn thì nhắn qua Zalo nhé bác (X), và cả cái này cũng đơn giản lắm, nhiều khi chẳng cần trao đổi gì luôn, giờ bác cứ search google ""dell g15 parts ssd"" - là ra cả đống từ shopee này nọ (ưu tiên NVME M2 loại 2230 và 2280 nhé bác), muốn an tam thì lên lên order từ nước ngoài về nhưng mà hơi đắt, còn cho chắc ăn, bác cứ mua ssd tại hãng, họ tự động lúc lắp ssd sẽ hỗ trợ gắn luôn cho bác cái parts đó. Khỏi lằng nhằng, chúc bác thành công."
368,"Sản phẩm rất tốt, các anh chị nhân viên nhiệt tình lắm luôn á"
370,Phục vụ nhiệt tình
373,"Mình Mua con dell g15 5515 ..Máy về sài lỗi hoài.. Thường xuyên đơ máy dùng chỉ xem phim lướt web, máy nóng khủng khiếp, khởi động lại máy mất 12h cũng chưa xong, tắt máy thì hơn 10p mới xong.. Máy dell 25tr mà còn tệ hơn con 5tr ở nhà dùng...các bạn đừng mua máy này nhé."
375,Vậy mua máy gì thích hợp nhất
376,"Laptop Em mua dc 2 ngày dùng cảm giác hơi chậm và Win 11 Em dùng ko quen nên có cài lại thành Win10 để dể dùng hơn. Nhưng khi cài lại thì mất chức năng bật, tắt quạt tảng nhiệt. Nhờ A/C hỗ trợ giúp Em."
377,Cảm ơn bạn. Nhờ đọc Review của b mà mình mạnh dạn mua máy. Thegioididong và Dell nerf con máy này banh chành khiến nó chạy thực sự ko đạt kỳ vọng như sức mạnh của nó. Có thể Reset Windows + Gỡ Mc Afee để lấy lại toàn bộ sức mạnh của máy.
378,"Dạ em chào anh. Cảm ơn anh đã sử dụng dịch vụ, bên em luôn lắng nghe những ý kiến của khách hàng để hoàn thiện sản phẩm tốt nhất. Chúc anh có những trải nghiệm tốt nhất tại TGDD nhé"
379,tinsh mua ma cam on ban
380,"Máy có phần cứng rất tốt, cấu hình mạnh, màn đẹp, loa to. Nhưng có vẻ chiếc máy bị chính nhà sản xuất và nhà phân phối đè cho giảm giá trị.
1/ Thegioididong. Thegioididong đã ghi sai thông tin máy mặc dù đã có người dùng phản hồi. Máy có 2 khe SSD chứ không phải 1. Khe SSD2 đang trống ko có sẵn giá đỡ. Các bạn mua máy gắn thêm SSD M.2 thì mua thêm cái này. Ở Trung tâm bảo hành Dell cũng k bán cái giá đỡ này.
2/ DELL. Dell cài sẵn cho máy cái hệ điều hành rất tệ. Máy cấu hình mạnh nhưng làm gì cũng chậm chạp, rất hay bị lỗi Not Responding, Shutdown thì tận 5 6s. Chơi game nhẹ như Liên Minh Huyền Thoại cũng bị limit FPS 60. Tôi quyết định Reset Windows thì bây giờ máy đang chạy rất tốt. Làm gì cũng nhanh, Shutdown 0.5-1s. Chơi game max cấu hình thả No Limit FPS đạt 220-280. Mọi người mua máy về có thể Reset Windows để máy lấy lại sức mạnh, không bị nerf.
3/ Phần cứng. Máy có camera rất tệ, mọi người ai hay có nhu cầu live stream, call video thì hãy cân nhắc"
381,"Máy bị lỗi phần mềm/phần cứng gây hiện tượng méo hình, nhấp nháy v.v... trên màn hình, lỗi rất nặng có thể dẫn đến BSOD. Lỗi có thể không liên quan đến màn hình bên ngoài, nhưng màn hình tích hợp bị ảnh hưởng cực nghiêm trọng. Nếu chỉ xài game thôi thì hơi mệt, nhưng càng mệt hơn nếu nói tới việc dùng để thao tác đồ hoạ kĩ thuật. Tuy nhiên, nó vẫn chơi tốt đa số các game online và offline các loại và càng tốt khi đối xử với nó như PC. 2 sao, nhưng sẽ giới thiệu mẫu máy nếu có."
382,"Thật ra thì mình nhìn hình bạn chụp, thấy nó giống bị dead pixel thì đúng hơn, cái này là do phần hardware. Nếu được, bạn chụp thêm lỗi lầm này được không, mình cũng muốn tìm hiểu thêm. Cảm ơn bạn"
392,"Máy tốt, nhân viên phục vụ rất nhiệt tình và dễ thương:3"
394,"Shop cho em hỏi, bàn phím cảm ứng thiết kế bị lệch hay sao ạ??? Phần mũi tên màu đỏ em thấy hở chút thấy trong máy luôn."
395,Sản phẩm rất tốt
397,"Sp rất rốt , mình đã mua ở Tgdđ đến nay là 4cái sđt hãng sam sung ri7 bỉm 2 cái và A30 2 cái và 2 cái láp tốp AUS Vivobook giá 39triệu 2 cái láp tốp mà ko đc tri ân khách hàng tích điểm như trước  , m rất buồn vì qay lại là khách hàng cũ , m mong bên Tgdđ có"
398,Máy ngon dịch vụ tốt 10đ
399,Nhân viên phục vụ tốt
401,Sản phẩm ok!
402,"Máy dùng rất tốt ok, card Intel UHD không thích hợp chơi game đồ họa cao nhưng để LOL mức trung bình chơi vẫn rất tốt luôn, nếu có thời gian nâng lên Dual Channel chạy Intel Ires XE còn ngon hơn nhiều. Màn hình đúng OLED đẹp luôn, nhưng phải lau thường xuyên và tránh nước để dùng được lâu, xem YT bật 4K HD bao phê, nói chung chất lượng quá ư là ok, pin trâu, dùng tác vụ bình thường thì 6 tiếng mới hết, chơi game thì 3 tiếng. Rất tin tưởng hãng ASUS!"
403,máy sài ok . nhân viên nhiệt tình
405,Chắc do win 11
406,Chất lượng tốt
407,"máy chạy mượt, vỏ ngoài nhìn đẹp, màn hình rất ok. Tuy nhiên kết nối wifi gặp lỗi liên tục. tự mất kết nối và phải kết nối lại từ 3-4 lần mới chạy ổn định"
408,"Ngoại hình thiết kế nổi trội, hiệu năng ổn định nhưng chưa gây được nhiều ấn tượng, các tác vụ nhẹ nhàng thì xử lí ngon ơ, đồ họa thì có phần hơi lag chút."
410,Nhân viên tư vấn nhiệt tình
412,Trải nghiệm sản phẩm rất tốt
413,Máy chạy nhanh như gió chóng hết cả mặt
415,Nhân viên tư vấn nhiệt tình sản phẩm tốt
416,Thái độ phục vụ rất nhiệt tình.
417,Sao xem Youtube mà pin giảm nhanh mà bàn phím cũng hơi ấm ấm nữa
418,Tôi hài lòng với sản phẩm này
419,"Máy chạy nhanh nhưng lỗi kết nối wifi bị ngắt kết nối liên tục, không biết cải thiện như thế nào luôn"
421,Máy dùng rất ok
422,Máy dùng mượt màn đẹp pin trâu
423,Nhân viên tư vấn nhiệt tình làm việc rất năng suất
